id,name,kgid
gcm,Google Cloud Messaging (GCM),2
android_arch,Android Architecture Components,3
picasso,Picasso,21
bolts,BoltsFramework,23
facebook_ads,Facebook Audience Network,24
zxing,Google ZXing,25
phonegap,PhoneGap / Apache Cordova,27
image-loader,Universal Image Loader,28
google_games,Google Play Games Services,29
startapp,Startapp,31
onesignal,OneSignal,32
facebook,Facebook,35
crashlytics,Crashlytics,37
fabric,fabric,38
nineoldandroids,NineOldAndroids,39
flurry,Flurry Analytics,40
eventbus,greenrobot EventBus,41
jsoup,jsoup: Java HTML Parser,42
apache_io,Apache Commons I/O,44
fasterxml_jackson,FasterXML Jackson,45
appsflyer,AppsFlyer,47
sherlock,Actionbar Sherlock,49
jetbrains_annotations,JetBrains Annotations,50
joda,Joda,51
inmobi,InMobi,52
okio,Okio,53
fmod,FMOD Ex Programmers API,54
unity,Unity 3D,57
unity_ads,Unity Ads,59
chartboost,Chartboost,60
okhttp,okHttp,61
applovin,AppLovin,62
apache_codec,Apache Commons Codec,63
circle_image_view,CircleImageView,64
material_progress_bar,MaterialProgressBar,65
vungle,Vungle,66
kotlin,Kotlin,67
shortcutbadger,ShortcutBadger,68
photoview,PhotoView,69
market_billing,Google Play In-app Billing,70
nexage_mraid,Nexage SourceKit-MRAID For Android,72
glide,Glide,73
retrofit,Retrofit,74
volley,Volley,76
butterknife,Butter Knife,77
reactivex,ReactiveX,78
dagger,Dagger,80
vpi,ViewPager indicator,81
analytics,Google Analytics,82
adcolony,AdColony,83
apache_http_auth,Apache Http Auth,84
moat,Moat Analytics,85
loopj_asynchttpclient,Android Asynchronous Http Client,86
ionic,Ionic Framework,87
cocos2dx,Cocos2D-X,88
rounded_image_view,RoundedImageView,89
realm,Realm,90
yandex_metrica,Yandex Metrica,91
andromo,Andromo,92
mopub,MoPub,93
materialdialogs,Material Dialogs,94
slf4j,Simple Logging Facade for Java (SLF4J),95
apache_httpmime,Apache HttpMime API,97
intellij_idea,IntelliJ IDEA,98
guava,Google Guava,99
amazon_ads,Amazon Mobile Ads,100
ormlite,OrmLite,101
reactive_streams,Reactive Streams,102
mpandroidchart,MPAndroidChart,103
msebera_httpclient,HttpClient for Android,105
libgdx,libgdx,106
pollfish,Pollfish,107
chromium,Chromium,108
react_native,React Native,109
epublib,epublib,110
calendarview,Android CalendarView,111
seattleclouds,SeattleClouds,112
phonegapsocialsharing,PhoneGap Social Sharing,113
acra,ACRA,114
apache_logging,Apache Commons Logging,115
twitterkit,Twitter Kit,116
heyzap,HeyZap,118
integral-ad-science,Integral Ad Science,119
air,Adobe AIR,120
zbar,ZBar bar code reader,121
json_simple,JSON.simple,122
xamarin,Xamarin,123
relinker,ReLinker,124
timber,Timber,125
hockey_app,HockeyApp,126
edmodo_cropper,Cropper,127
appbrain,AppBrain SDK,128
kobjects,kObjects Utilities,129
samsung_iap,Samsung In-App Purchase,130
altbeacon,Android Beacon Library,131
card.io,card.io,132
kankanwheel,android-wheel,133
xmlpull,XML Pull Parsing,134
amazon_aws,Amazon AWS SDK for Android,135
millennial,Millennial Media,136
material_drawer,MaterialDrawer,137
kxml2,kXML,138
umeng,Umeng,139
anjlab_billing,Android In-App Billing Library,140
ironsource,Ironsource,141
prime31_plugins,Prime31 Unity Plugins,142
sliding-menu,SlidingMenu,144
revmob,Revmob,145
ksoap2,kSOAP 2,146
